,bbl.bbl,bbl.bblBoroughCode,bbl.bblBoroughCodeIn,bbl.bblTaxBlock,bbl.bblTaxBlockIn,bbl.bblTaxLot,bbl.bblTaxLotIn,bbl.buildingIdentificationNumber,bbl.businessImprovementDistrict,bbl.condominiumBillingBbl,bbl.condominiumFlag,bbl.continuousParityIndicator,bbl.cooperativeIdNumber,bbl.cornerCode,bbl.dcpCommercialStudyArea,bbl.dofCondominiumIdentificationNumber,bbl.firstBoroughName,bbl.geosupportFunctionCode,bbl.geosupportReturnCode,bbl.gi5DigitStreetCode1,bbl.gi5DigitStreetCode10,bbl.gi5DigitStreetCode11,bbl.gi5DigitStreetCode12,bbl.gi5DigitStreetCode13,bbl.gi5DigitStreetCode14,bbl.gi5DigitStreetCode2,bbl.gi5DigitStreetCode3,bbl.gi5DigitStreetCode4,bbl.gi5DigitStreetCode5,bbl.gi5DigitStreetCode6,bbl.gi5DigitStreetCode7,bbl.gi5DigitStreetCode8,bbl.gi5DigitStreetCode9,bbl.giBoroughCode1,bbl.giBoroughCode10,bbl.giBoroughCode11,bbl.giBoroughCode12,bbl.giBoroughCode13,bbl.giBoroughCode14,bbl.giBoroughCode2,bbl.giBoroughCode3,bbl.giBoroughCode4,bbl.giBoroughCode5,bbl.giBoroughCode6,bbl.giBoroughCode7,bbl.giBoroughCode8,bbl.giBoroughCode9,bbl.giBuildingIdentificationNumber1,bbl.giBuildingIdentificationNumber10,bbl.giBuildingIdentificationNumber11,bbl.giBuildingIdentificationNumber12,bbl.giBuildingIdentificationNumber13,bbl.giBuildingIdentificationNumber14,bbl.giBuildingIdentificationNumber2,bbl.giBuildingIdentificationNumber3,bbl.giBuildingIdentificationNumber4,bbl.giBuildingIdentificationNumber5,bbl.giBuildingIdentificationNumber6,bbl.giBuildingIdentificationNumber7,bbl.giBuildingIdentificationNumber8,bbl.giBuildingIdentificationNumber9,bbl.giDcpPreferredLgc1,bbl.giDcpPreferredLgc10,bbl.giDcpPreferredLgc11,bbl.giDcpPreferredLgc12,bbl.giDcpPreferredLgc13,bbl.giDcpPreferredLgc14,bbl.giDcpPreferredLgc2,bbl.giDcpPreferredLgc3,bbl.giDcpPreferredLgc4,bbl.giDcpPreferredLgc5,bbl.giDcpPreferredLgc6,bbl.giDcpPreferredLgc7,bbl.giDcpPreferredLgc8,bbl.giDcpPreferredLgc9,bbl.giGeographicIdentifier1,bbl.giGeographicIdentifier10,bbl.giGeographicIdentifier14,bbl.giGeographicIdentifier2,bbl.giGeographicIdentifier3,bbl.giGeographicIdentifier4,bbl.giGeographicIdentifier5,bbl.giGeographicIdentifier6,bbl.giGeographicIdentifier7,bbl.giGeographicIdentifier8,bbl.giGeographicIdentifier9,bbl.giHighHouseNumber1,bbl.giHighHouseNumber10,bbl.giHighHouseNumber11,bbl.giHighHouseNumber12,bbl.giHighHouseNumber13,bbl.giHighHouseNumber14,bbl.giHighHouseNumber2,bbl.giHighHouseNumber3,bbl.giHighHouseNumber4,bbl.giHighHouseNumber5,bbl.giHighHouseNumber6,bbl.giHighHouseNumber7,bbl.giHighHouseNumber8,bbl.giHighHouseNumber9,bbl.giLowHouseNumber1,bbl.giLowHouseNumber10,bbl.giLowHouseNumber11,bbl.giLowHouseNumber12,bbl.giLowHouseNumber13,bbl.giLowHouseNumber14,bbl.giLowHouseNumber2,bbl.giLowHouseNumber3,bbl.giLowHouseNumber4,bbl.giLowHouseNumber5,bbl.giLowHouseNumber6,bbl.giLowHouseNumber7,bbl.giLowHouseNumber8,bbl.giLowHouseNumber9,bbl.giSideOfStreetIndicator1,bbl.giSideOfStreetIndicator10,bbl.giSideOfStreetIndicator11,bbl.giSideOfStreetIndicator12,bbl.giSideOfStreetIndicator13,bbl.giSideOfStreetIndicator14,bbl.giSideOfStreetIndicator2,bbl.giSideOfStreetIndicator3,bbl.giSideOfStreetIndicator4,bbl.giSideOfStreetIndicator5,bbl.giSideOfStreetIndicator6,bbl.giSideOfStreetIndicator7,bbl.giSideOfStreetIndicator8,bbl.giSideOfStreetIndicator9,bbl.giStreetCode1,bbl.giStreetCode10,bbl.giStreetCode11,bbl.giStreetCode12,bbl.giStreetCode13,bbl.giStreetCode14,bbl.giStreetCode2,bbl.giStreetCode3,bbl.giStreetCode4,bbl.giStreetCode5,bbl.giStreetCode6,bbl.giStreetCode7,bbl.giStreetCode8,bbl.giStreetCode9,bbl.giStreetName1,bbl.giStreetName10,bbl.giStreetName11,bbl.giStreetName12,bbl.giStreetName13,bbl.giStreetName14,bbl.giStreetName2,bbl.giStreetName3,bbl.giStreetName4,bbl.giStreetName5,bbl.giStreetName6,bbl.giStreetName7,bbl.giStreetName8,bbl.giStreetName9,bbl.highBblOfThisBuildingsCondominiumUnits,bbl.internalLabelXCoordinate,bbl.internalLabelYCoordinate,bbl.irregularlyShapedLotFlag,bbl.latitudeInternalLabel,bbl.longitudeInternalLabel,bbl.lowBblOfThisBuildingsCondominiumUnits,bbl.lowHouseNumberOfDefiningAddressRange,bbl.message,bbl.modeSwitchIn,bbl.numberOfEntriesInListOfGeographicIdentifiers,bbl.numberOfExistingStructuresOnLot,bbl.numberOfStreetFrontagesOfLot,bbl.returnCode1a,bbl.rpadBuildingClassificationCode,bbl.rpadSelfCheckCodeForBbl,bbl.sanbornBoroughCode,bbl.sanbornPageNumber,bbl.sanbornPageNumberSuffix,bbl.sanbornVolumeNumber,bbl.sanbornVolumeNumberSuffix,bbl.selfCheckCodeOfBillingBbl,bbl.taxMapNumberSectionAndVolume,bbl.vacantLotFlag,bbl.workAreaFormatIndicatorIn
0,2048350186,2,2,04835,4835,0186,186,2119716,,0000000000,,,0000,,,,BRONX,BL,00,28620,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2119716,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,684,,,,,,,,,,,,,,684,,,,,,,,,,,,,,R,,,,,,,,,,,,,,22862001,,,,,,,,,,,,,,EAST  233 STREET,,,,,,,,,,,,,,2048350186,1023494,0264792,,40.89337937601695,-73.8580566019626,2048350186,000684000AA,,X,0001,0001,01,00,C2,2,2,005,,22,,,21701,,C
0,2051417501,2,2,05141,5141,7501,7501,2111961,,2051417501,C,,0000,,,0173,BRONX,BL,00,35680,,,,,,35680,,,,,,,,2,,,,,,2,,,,,,,,2111961,,,,,,2123665,,,,,,,,01,,,,,,01,,,,,,,,,,,,,,,,,,,2219,,,,,,2217,,,,,,,,2219,,,,,,2217,,,,,,,,L,,,,,,L,,,,,,,,23568001,,,,,,23568001,,,,,,,,GIVAN AVENUE,,,,,,GIVAN AVENUE,,,,,,,,2051417501,1031426,0260073,,40.88038838478004,-73.8294003003681,2051417501,999011302AA,,X,0002,0002,01,00,RR,7,2,071,,22,,7,21710,,C
0,2052600024,2,2,05260,5260,0024,24,2124412,,0000000000,,,0000,,,,BRONX,BL,00,41530,,,,,,41530,,,,,,,,2,,,,,,2,,,,,,,,2124412,,,,,,2000000,,,,,,,,01,,,,,,01,,,,,,,,,,,Q,,,,,,,,3417,,,,,,3419,,,,,,,,3417,,,,,,3419,,,,,,,,L,,,,,,L,,,,,,,,24153001,,,,,,24153001,,,,,,,,HUNTER AVENUE,,,,,,HUNTER AVENUE,,,,,,,,2052600024,1029983,0260211,,40.88077474666105,-73.83461757872962,2052600024,003417000AA,,X,0002,0001,01,00,C2,5,2,064,,22,,,21710,,C
0,2052600026,2,2,05260,5260,0026,26,2124410,,0000000000,,,0000,,,,BRONX,BL,00,41530,,,,,,41530,,,,,,,,2,,,,,,2,,,,,,,,2124410,,,,,,2000000,,,,,,,,01,,,,,,01,,,,,,,,,,,Q,,,,,,,,3413,,,,,,3411,,,,,,,,3413,,,,,,3411,,,,,,,,L,,,,,,L,,,,,,,,24153001,,,,,,24153001,,,,,,,,HUNTER AVENUE,,,,,,HUNTER AVENUE,,,,,,,,2052600026,1030012,0260145,,40.88059344718098,-73.83451315833315,2052600026,003411000AA,,X,0002,0001,01,00,C2,0,2,064,,22,,,21710,,C
0,2057590358,2,2,05759,5759,0358,358,,,,,,,,,,BRONX,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,2058517501,2,2,05851,5851,7501,7501,2084826,,2058517501,C,,0000,,,0199,BRONX,BL,00,14920,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2084826,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,6469,,,,,,,,,,,,,,6469,,,,,,,,,,,,,,L,,,,,,,,,,,,,,21492001,,,,,,,,,,,,,,BROADWAY,,,,,,,,,,,,,,2058517501,1012793,0268637,,40.90397376688058,-73.89674509714987,2058517501,999014179AA,,X,0001,0001,01,00,RB,1,2,074,,13,,1,21904,,C
0,3000367504,3,3,00036,36,7504,7504,3398406,,3000367504,C,,0000,CR,,3274,BROOKLYN,BL,00,33360,,,,,,42330,89930,,,,,,,3,,,,,,3,3,,,,,,,3398406,,,,,,3398406,3398406,,,,,,,01,,,,,,01,01,,,,,,,,,,,,,,,,,,25,,,,,,29,60,,,,,,,9,,,,,,21,60,,,,,,,L,,,,,,L,R,,,,,,,33336001,,,,,,34233001,38993001,,,,,,,DOCK STREET,,,,,,FRONT STREET,WATER STREET,,,,,,,3000367504,0986447,0195381,,40.702952164022584,-73.99207627403862,3000367504,999000086AA,,X,0003,0001,03,00,RA,8,3,005,,02,,8,30101,,C
0,3001547501,3,3,00154,154,7501,7501,3425971,,3001547501,C,,0000,,,3944,BROOKLYN,BL,00,56530,,,,,,56530,56530,56530,70130,,,,,3,,,,,,3,3,3,3,,,,,3425971,,,,,,3425971,3425971,3425971,3425971,,,,,01,,,,,,01,01,01,02,,,,,,,,,,,,,,,,121,,,,,,123,125,127,433,,,,,117,,,,,,123,125,127,415,,,,,L,,,,,,L,L,L,L,,,,,35653001,,,,,,35653001,35653001,35653001,37013002,,,,,LIVINGSTON STREET,,,,,,LIVINGSTON STREET,LIVINGSTON STREET,LIVINGSTON STREET,RED HOOK LANE,,,,,3001547501,0987359,0191054,,40.69107528228114,-73.98878904145407,3001547501,999000214AA,,X,0005,0001,02,00,RR,5,3,022,,02,,5,30104,,C
0,3001667502,3,3,00166,166,7502,7502,3422112,,3001667502,C,,0000,CR,32001,3608,BROOKLYN,BL,00,20530,,,,,,20530,56530,75530,,,,,,3,,,,,,3,3,3,,,,,,3422112,,,,,,3422112,3422112,3422112,,,,,,01,,,,,,01,01,01,,,,,,,,,,,,,,,,,33,,,,,,39,300,275,,,,,,33,,,,,,39,276,255,,,,,,L,,,,,,L,R,L,,,,,,32053001,,,,,,32053001,35653001,37553001,,,,,,BOND STREET,,,,,,BOND STREET,LIVINGSTON STREET,SCHERMERHORN STREET,,,,,,3001667502,0988905,0190027,,40.688255725510146,-73.98321492265326,3001667502,999000224AA,,X,0004,0001,03,00,RK,7,3,023,,02,,7,30104,,C
0,3003047501,3,3,00304,304,7501,7501,3394115,,3003047501,C,,0000,,,2255,BROOKLYN,BL,00,49630,,,,,,15180,89530,,,,,,,3,,,,,,3,3,,,,,,,3394115,,,,,,3000000,3000000,,,,,,,01,,,,,,01,01,,,,,,,,,,F,F,,,,,,,414,,,,,,,,,,,,,,414,,,,,,,,,,,,,,R,,,,,,,,,,,,,,34963001,,,,,,31518001,38953001,,,,,,,HICKS STREET,,,,,,BALTIC STREET,WARREN STREET,,,,,,,3003047501,0984262,0190085,,40.68841614631713,-73.9999567300942,3003047501,999000500AA,,X,0003,0001,03,00,RR,6,3,033,,01,,6,30201,,C
0,3003050001,3,3,00305,305,0001,1,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3003100003,3,3,00310,310,0003,3,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3003510006,3,3,00351,351,0006,6,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3004360028,3,3,00436,436,0028,28,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3004640019,3,3,00464,464,0019,19,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3004640021,3,3,00464,464,0021,21,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3005260021,3,3,00526,526,0021,21,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3005800024,3,3,00580,580,0024,24,3413668,,0000000000,,,0000,CR,,,BROOKLYN,BL,00,57170,,,,,,49630,49630,49630,49630,,,,,3,,,,,,3,3,3,3,,,,,3413668,,,,,,3413668,3413669,3413670,3413671,,,,,01,,,,,,01,01,01,01,,,,,W,,,,,,,,,,,,,,,,,832,834,836,838,,,,,,,,,,,832,834,836,838,,,,,,,,,,,R,R,R,R,,,,,35717001,,,,,,34963001,34963001,34963001,34963001,,,,,LORRAINE STREET,,,,,,HICKS STREET,HICKS STREET,HICKS STREET,HICKS STREET,,,,,3005800024,0982501,0184831,,40.67399493731139,-74.0063052251035,3005800024,999001081AA,,X,0005,0004,02,00,C1,1,3,027,,01,,,30207,,C
0,3007410006,3,3,00741,741,0006,6,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3008267502,3,3,00826,826,7502,7502,3425756,,3008267502,C,,0000,,,4227,BROOKLYN,BL,00,09330,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3425756,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,757,,,,,,,,,,,,,,757,,,,,,,,,,,,,,L,,,,,,,,,,,,,,30933001,,,,,,,,,,,,,,55 STREET,,,,,,,,,,,,,,3008267502,0982250,0172062,,40.63894677795961,-74.00720630464238,3008267502,999001571AA,,X,0001,0001,01,00,R8,6,3,034,,06,A,6,30307,,C
0,3008410035,3,3,00841,841,0035,35,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3018087501,3,3,01808,1808,7501,7501,3395305,,3018087501,C,,0000,,,3538,BROOKLYN,BL,00,67030,,,,,,67030,67030,67030,67030,43330,,,,3,,,,,,3,3,3,3,3,,,,3395305,,,,,,3426262,3426263,3426264,3426265,3426265,,,,01,,,,,,01,01,01,01,01,,,,,,,,,,,W,,,,343,,,,,,345,345A,347,349,,,,,343,,,,,,345,345A,347,349,,,,,L,,,,,,L,L,L,L,,,,,36703001,,,,,,36703001,36703001,36703001,36703001,34333001,,,,NOSTRAND AVENUE,,,,,,NOSTRAND AVENUE,NOSTRAND AVENUE,NOSTRAND AVENUE,NOSTRAND AVENUE,GATES AVENUE,,,,3018087501,0997969,0189415,,40.686566517775084,-73.95053304973047,3018087501,999004015AA,,X,0006,0005,02,00,RK,5,3,016,,05,,5,30610,,C
0,3009337501,3,3,00933,933,7501,1105,3018585,,3009337501,C,,0000,,,2698,BROOKLYN,BL,00,19230,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3018585,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,444,,,,,,,,,,,,,,444,,,,,,,,,,,,,,R,,,,,,,,,,,,,,31923001,,,,,,,,,,,,,,BERGEN STREET,,,,,,,,,,,,,,3009331108,0990717,0187422,,40.68110445719531,-73.97668368305725,3009331101,000444000AA,,X,0001,0001,01,00,R1,2,3,030,,06,,2,30401,,C
0,3009330012,3,3,00933,933,0012,12,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3009387503,3,3,00938,938,7503,7503,3018891,,3009387503,C,,0000,,,3689,BROOKLYN,BL,00,69330,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3018891,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,61,,,,,,,,,,,,,,L,,,,,,,,,,,,,,36933001,,,,,,,,,,,,,,PARK PLACE,,,,,,,,,,,,,,3009387503,0990855,0186695,,40.67910890527921,-73.97618684627172,3009387503,999001916AA,,X,0001,0001,01,00,RB,7,3,039,,06,,7,30401,,C
0,3009520014,3,3,00952,952,0014,14,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3009630092,3,3,00963,963,0092,92,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3010470161,3,3,01047,1047,0161,161,3397475,,0000000000,,,0000,,,,BROOKLYN,BL,00,06630,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3397475,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,178,,,,,,,,,,,,,,R,,,,,,,,,,,,,,30663001,,,,,,,,,,,,,,15 STREET,,,,,,,,,,,,,,3010470161,0986839,0181906,,40.66596626022698,-73.99066765985029,3010470161,000178000AA,,X,0001,0001,01,00,D9,0,3,022,,06,,,30404,,C
0,3010580049,3,3,01058,1058,0049,49,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3010660011,3,3,01066,1066,0011,11,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3010890046,3,3,01089,1089,0046,46,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3011030009,3,3,01103,1103,0009,9,3259551,,0000000000,,,0000,,,,BROOKLYN,BL,00,06530,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3259551,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,442,,,,,,,,,,,,,,442,,,,,,,,,,,,,,R,,,,,,,,,,,,,,30653001,,,,,,,,,,,,,,14 STREET,,,,,,,,,,,,,,3011030009,0989367,0180609,,40.6624051825681,-73.98155618559896,3011030009,000442000AA,,X,0001,0001,01,00,C1,2,3,045,,06,,,30406,,C
0,3011270010,3,3,01127,1127,0010,10,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3011730058,3,3,01173,1173,0058,58,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3011800026,3,3,01180,1180,0026,26,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3012060013,3,3,01206,1206,0013,13,,,,,,,,,,BROOKLYN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,3012707503,3,3,01270,1270,7503,7503,3424425,,3012707503,C,,0000,,,3869,BROOKLYN,BL,00,64830,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3424425,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,,,,,,,309,,,,,,,,,,,,,,L,,,,,,,,,,,,,,36483001,,,,,,,,,,,,,,NEW YORK AVENUE,,,,,,,,,,,,,,3012707503,0998813,0182994,,40.6689409790117,-73.94750369300672,3012707503,999002879AA,,X,0001,0001,01,00,RA,4,3,056,,07,,4,30503,,C
0,3013420039,3,3,01342,1342,0039,39,3000000,,0000000000,,,0000,,,,BROOKLYN,BL,00,68930,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3000000,,,,,,,,,,,,,,01,,,,,,,,,,,,,,Q,,,,,,,,,,,1736,,,,,,,,,,,,,,1736,,,,,,,,,,,,,,R,,,,,,,,,,,,,,36893001,,,,,,,,,,,,,,PACIFIC STREET,,,,,,,,,,,,,,3013420039,1003358,0185713,,40.676395378868136,-73.93111229842074,3013420039,001736000AA,,X,0001,0000,01,00,C1,3,3,002,,07,,,30505,,C
0,3013420041,3,3,01342,1342,0041,41,3000000,,0000000000,,,0000,,,,BROOKLYN,BL,00,68930,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3000000,,,,,,,,,,,,,,01,,,,,,,,,,,,,,Q,,,,,,,,,,,1740,,,,,,,,,,,,,,1740,,,,,,,,,,,,,,R,,,,,,,,,,,,,,36893001,,,,,,,,,,,,,,PACIFIC STREET,,,,,,,,,,,,,,3013420041,1003407,0185709,,40.67638429387036,-73.93093565624325,3013420041,001740000AA,,X,0001,0000,01,00,C1,9,3,002,,07,,,30505,,C
0,3014420045,3,3,01442,1442,0045,45,3419650,,0000000000,,,,,,,BROOKLYN,BL,00,38430,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3419650,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1815,,,,,,,,,,,,,,1815,,,,,,,,,,,,,,L,,,,,,,,,,,,,,33843001,,,,,,,,,,,,,,EASTERN PARKWAY,,,,,,,,,,,,,,3014420045,1009449,0185193,,40.674952853707936,-73.909155129897,3014420045,001815000AA,,X,0001,0001,01,00,C1,8,3,010,,07,,,30508,,C
0,3014470001,3,3,01447,1447,0001,1,3413938,,0000000000,,,0000,CR,33047,,BROOKLYN,BL,00,19230,,,,,,75130,,,,,,,,3,,,,,,3,,,,,,,,3413938,,,,,,3413938,,,,,,,,01,,,,,,01,,,,,,,,W,,,,,,,,,,,,,,,,,331,,,,,,,,,,,,,,331,,,,,,,,,,,,,,L,,,,,,,,31923001,,,,,,37513001,,,,,,,,BERGEN STREET,,,,,,SARATOGA AVENUE,,,,,,,,3014470001,1007486,0185047,,40.67455748685634,-73.91623243654361,3014470001,999003454AA,,X,0002,0001,02,00,D3,0,3,030,,07,,,30508,,C
